distance(m),speed_limit(km/h),vehicle_speed(km/h),road_type,HC,CO,NOx,FC,CO2(total),PM2.5,BC (exhaust),PM2.5 (non-exhaust)
1,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
53,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
54,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
239,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
240,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
454,32.00000148,22.99999968,Local,0.01910729117019884,0.07862297745261336,0.24236291035547786,72.47948126688674,228.52781921846622,0.0007494201122853478,0.00011241302944112689,0.0150000005960464
455,32.00000148,28.00000116,Local,0.017211159959609756,0.07040573070965299,0.22277437797741645,65.74786377687776,207.30302880901988,0.0006862322495745442,0.00010293484873962321,0.0150000005960464
480,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
513,32.00000148,33.0000012,Local,0.014449153787137865,0.0614164892878132,0.19669462316538605,58.59378777598161,184.74622754161228,0.0006176226808631008,9.264340901432526e-05,0.0150000005960464
556,32.00000148,30.000002400000003,Local,0.016106356814481894,0.06681003194035079,0.21234246966828033,62.8862316252015,198.2803027801519,0.0006587884052943445,9.88182703301596e-05,0.0150000005960464
618,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
628,32.00000148,32.00000148,Local,0.015001554862540688,0.06321433705440085,0.20191057262559825,60.02460256408607,189.25758649582204,0.0006313445906534783,9.470169636659792e-05,0.0150000005960464
658,32.00000148,33.0000012,Local,0.014449153787137865,0.0614164892878132,0.19669462316538605,58.59378777598161,184.74622754161228,0.0006176226808631008,9.264340901432526e-05,0.0150000005960464
704,32.00000148,34.00000092,Local,0.013896752711735042,0.05961864152122555,0.19147867370517382,57.16297298787716,180.2348685874025,0.0006039007710727232,9.05851216620526e-05,0.0150000005960464
801,32.00000148,31.000001759999996,Local,0.015553955937943516,0.06501218482098851,0.20712652208581048,61.45541735219053,193.76894545003185,0.000645066500443856,9.67599837188706e-05,0.0150000005960464
824,32.00000148,27.0,Local,0.017763561830470353,0.07220358106514216,0.227990334948598,67.17868062535608,211.81439425958837,0.0006999541791244774,0.00010499313905583049,0.0150000005960464
